Nom,Latitude,Longitude,Art,Communication,Design,DNSEP,DNA
École supérieure d’art d’Aix-en-Provence Félix Ciccolini,43.53044179830215,5.441207397394758,TRUE,FALSE,FALSE,TRUE,TRUE
École supérieure d’art et de design d’Amiens,49.9136401412313,2.2929041069684137,TRUE,FALSE,TRUE,TRUE,TRUE
École supérieure d’art et de design TALM-Angers,47.46933065239532,-0.548423452533133,TRUE,FALSE,TRUE,TRUE,TRUE
École européenne supérieure de l’image Angoulême-Poitiers | Site Angoulême,45.656421754211095,0.14908411246223452,TRUE,FALSE,FALSE,TRUE,TRUE
École supérieure d’art Annecy Alpes,45.893550149882635,6.13538162822634,TRUE,FALSE,TRUE,TRUE,TRUE
École nationale supérieure de la photographie,43.6756512109217,4.637432021837238,FALSE,FALSE,FALSE,FALSE,FALSE
École supérieure d’art d’Avignon,43.922950386145224,4.803597626812255,TRUE,FALSE,FALSE,TRUE,TRUE
École supérieure d’art Pays Basque,43.48467996230912,-1.4823098460906199,TRUE,FALSE,FALSE,FALSE,TRUE
Institut Supérieur des Beaux-Arts de Besançon,47.243995877186556,5.988592820340856,TRUE,TRUE,FALSE,TRUE,TRUE
École supérieure des Beaux-Arts de Bordeaux,44.830805229798145,-0.5603533601729719,TRUE,FALSE,TRUE,TRUE,TRUE
École nationale supérieure d’art de Bourges,47.085856140025676,2.395232872451708,TRUE,FALSE,FALSE,TRUE,TRUE
École européenne supérieure d’art de Bretagne | site de Brest,48.3850810431813,-4.49027626359704,TRUE,FALSE,TRUE,TRUE,TRUE
École supérieure d’arts & médias de Caen-Cherbourg | Site Caen,49.18097626079025,-0.3458418316995287,TRUE,FALSE,TRUE,TRUE,TRUE
École supérieure d’art de Cambrai,50.18868674202669,3.243323497708042,FALSE,TRUE,FALSE,TRUE,TRUE
École nationale supérieure d’arts Paris-Cergy,49.036965609892796,2.077685555333213,TRUE,FALSE,FALSE,TRUE,TRUE
École Media Art du Grand Chalon,46.78341344662344,4.852158045327904,TRUE,FALSE,FALSE,FALSE,TRUE
École supérieure d’arts & médias de Caen-Cherbourg | Site Cherbourg,49.64476652868717,-1.6438497474519136,TRUE,FALSE,FALSE,TRUE,FALSE
École Supérieure d’Art de Clermont Métropole,45.7687711266588,3.0878851374797684,TRUE,FALSE,FALSE,TRUE,TRUE
École nationale supérieure d’art de Dijon,47.3213608013754,5.035593262653997,TRUE,FALSE,TRUE,TRUE,TRUE
École Supérieure d’Art | Dunkerque-Tourcoing | site de Dunkerque,51.032634814525466,2.381779457266348,TRUE,FALSE,FALSE,TRUE,TRUE
École Supérieure d’Art de Lorraine | site Épinal,48.1708486977833,6.452534488359475,FALSE,FALSE,FALSE,FALSE,TRUE
École Supérieure d’Art et Design •Grenoble •Valence | site ÉSAD •Grenoble,45.18668673674533,5.726613337988635,TRUE,FALSE,FALSE,TRUE,TRUE
École supérieure d’art et design Le Havre Rouen | site Le Havre,49.4994000388967,0.13270468706954652,FALSE,FALSE,TRUE,TRUE,TRUE
École supérieure d’art et de design TALM-Le Mans,48.00640131170643,0.19631222645632754,TRUE,FALSE,TRUE,TRUE,TRUE
École nationale supérieure d’art de Limoges,45.81706302938524,1.2330124951643717,TRUE,FALSE,TRUE,TRUE,TRUE
École européenne supérieure d’art de Bretagne | site Lorient,47.735798547964905,-3.365360273554304,TRUE,TRUE,FALSE,TRUE,TRUE
École nationale supérieure des beaux-arts de Lyon,45.7680167685703, 4.817079612877834,TRUE,FALSE,TRUE,TRUE,TRUE
Beaux-Arts de Marseille – INSEAMM,43.22865794834219,5.435663926276487,TRUE,FALSE,TRUE,TRUE,TRUE
École Supérieure d’Art de Lorraine | site Metz,49.11554649738514,6.17007493999263,TRUE,TRUE,FALSE,TRUE,TRUE
Pavillon Bosio – École supérieure d’arts plastiques de la Ville de Monaco (ESAP),43.7325854575166,7.426579539786821,TRUE,FALSE,FALSE,TRUE,TRUE
MO.CO. ESBA – École Supérieure des Beaux-Arts de Montpellier Contemporain,43.622757740906216,3.8829016453214242,TRUE,FALSE,FALSE,TRUE,TRUE
Haute école des arts du Rhin | site Mulhouse,47.74373617556176,7.3268873841178905,TRUE,FALSE,TRUE,TRUE,TRUE
École nationale supérieure d’art et de design de Nancy,48.674846017224304,6.169979482303029,TRUE,TRUE,TRUE,TRUE,TRUE
Beaux-arts Nantes Saint-Nazaire,47.206722688855194,-1.560487373574957,TRUE,FALSE,FALSE,TRUE,TRUE
École nationale supérieure d’art de Nice | Villa Arson,43.72189637777381,7.252937255130148,TRUE,FALSE,FALSE,FALSE,TRUE
École supérieure des beaux-arts de Nîmes,43.83794791721352,4.36165431280629,TRUE,FALSE,FALSE,TRUE,TRUE
École supérieure d’art et de design d’Orléans,47.90281710393359,1.910439626452236,FALSE,FALSE,TRUE,TRUE,TRUE
École des Arts Décoratifs,48.8428296074871,2.344636312997348,TRUE,FALSE,TRUE,FALSE,FALSE
ENSCI – Les Ateliers,48.85850533495672,2.369318112997996,FALSE,FALSE,FALSE,FALSE,FALSE
Beaux-Arts de Paris,48.85828745866606,2.3334187604792906,TRUE,FALSE,FALSE,TRUE,TRUE
École supérieure d’art et de design des Pyrénées | site de Pau,43.29770716583506,-0.36391906022889964,TRUE,FALSE,TRUE,TRUE,TRUE
École européenne supérieure de l’image Angoulême-Poitiers | Site Poitiers,46.578940834396015,0.3417656264008118,TRUE,FALSE,FALSE,TRUE,TRUE
École européenne supérieure d’art de Bretagne | site Quimper,47.996101264488,-4.110340046559755,TRUE,FALSE,FALSE,TRUE,TRUE
École supérieure d’Art et de Design de Reims,49.25241153494233,4.029494466982421,TRUE,FALSE,TRUE,TRUE,TRUE
École européenne supérieure d’art de Bretagne | site de Rennes,48.1147930576901,-1.6771999023753803,TRUE,TRUE,TRUE,TRUE,TRUE
École supérieure d’art et design Le Havre Rouen | site Rouen,49.454300374112066, 1.1364842520138334,TRUE,FALSE,FALSE,TRUE,TRUE
École supérieure d’art et design de Saint-Étienne,45.45154220532008,4.386981482178311,TRUE,FALSE,TRUE,TRUE,TRUE
Haute école des arts du Rhin | site Strasbourg,48.58248813259989,7.759267168807245,TRUE,TRUE,FALSE,TRUE,TRUE
École supérieure d’art et de design des Pyrénées | site de Tarbes,43.236342316231806,0.07489258394866173,TRUE,FALSE,FALSE,TRUE,TRUE
École supérieure d’art et de design Toulon Provence Méditerranée,43.12861232480463,5.927480753257203,TRUE,FALSE,TRUE,TRUE,TRUE
institut supérieur des arts et du design de Toulouse,43.60641303642419, 1.436095240274479,TRUE,FALSE,TRUE,TRUE,TRUE
École Supérieure d’Art | Dunkerque-Tourcoing | site de Tourcoing,50.749735110603325,3.155956104542949,TRUE,FALSE,FALSE,TRUE,TRUE
Le Fresnoy – Studio national des arts contemporains,50.70053707457242,3.1551609265650233,FALSE,FALSE,FALSE,FALSE,FALSE
École supérieure d’art et de design TALM-Tours,47.39306230630955,0.6681868841041747,TRUE,FALSE,FALSE,TRUE,TRUE
École Supérieure d’Art et Design •Grenoble •Valence | site ÉSAD •Valence,44.9301115237433,4.926625260729423,TRUE,FALSE,TRUE,TRUE,TRUE
École supérieure d’art et de design de Valenciennes,50.34519311585312,3.50476975161116,TRUE,FALSE,TRUE,TRUE,TRUE
Campus Caraïbéen des Arts,14.613047487631162,-61.07514121469644,TRUE,FALSE,TRUE,TRUE,TRUE
École supérieure d’art de La Réunion,-19.74407860595467,54.93136405504883,TRUE,FALSE,FALSE,TRUE,TRUE
